OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OwnOcc_e19,OwnOcc_m19,ValLt50k_e19,ValLt50k_m19,pValLt50k_e19,pValLt50k_m19,Val50_100k_e19,Val50_100k_m19,pVal50_100k_e19,pVal50_100k_m19,Val100_150k_e19,Val100_150k_m19,pVal100_150k_e19,pVal100_150k_m19,Val150_200k_e19,Val150_200k_m19,pVal150_200k_e19,pVal150_200k_m19,Val200_300k_e19,Val200_300k_m19,pVal200_300k_e19,pVal200_300k_m19,Val300_500k_e19,Val300_500k_m19,pVal300_500k_e19,pVal300_500k_m19,Val500k_1m_e19,Val500k_1m_m19,pVal500k_1m_e19,pVal500k_1m_m19,Val1mP_e19,Val1mP_m19,pVal1mP_e19,pVal1mP_m19,ValLt100k_e19,ValLt100k_m19,pValLt100k_e19,pValLt100k_m19,Val100_300k_e19,Val100_300k_m19,pVal100_300k_e19,pVal100_300k_m19,Val300kPlus_e19,Val300kPlus_m19,pVal300kPlus_e19,pVal300kPlus_m19,mMedHUValue_e19,mMedHUValue_m19,SHAPE_Length,SHAPE_Area
1,Northeast Georgia,Yes,30164,3247,ZCTA,ZCTA5 30164,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0189053008188895,5.60488042455416e-06
2,Atlanta Regional Commission,Yes,30168,3249,ZCTA,ZCTA5 30168,3881,434,682,231,17.6,5.6,639,213,16.5,5.2,893,220,23,5.1,1021,257,26.3,5.9,440,190,11.3,4.7,112,90,2.9,2.3,24,50,0.6,1.3,70,70,1.8,1.8,1321,314,34,7.1,2354,388,60.7,7.3,206,124,5.3,3.1,133100,15767,0.408551330439556,0.0031811513535994
3,Coastal Regional Commission,No,31401,3684,ZCTA,ZCTA5 31401,2521,213,78,49,3.1,1.9,327,96,13,3.6,191,67,7.6,2.6,180,61,7.1,2.3,449,115,17.8,4.3,553,110,21.9,4,566,105,22.5,3.7,177,52,7,2,405,108,16.1,4,820,146,32.5,5.1,1296,161,51.4,4.7,310900,27643,0.235835237402041,0.00127405137504976
4,Three Rivers,Partial,30170,3250,ZCTA,ZCTA5 30170,998,131,169,82,16.9,7.9,258,91,25.9,8.4,203,89,20.3,8.5,155,61,15.5,5.7,114,58,11.4,5.6,83,32,8.3,3,10,12,1,1.2,6,21,0.6,2.1,427,122,42.8,10.9,472,123,47.3,10.6,99,40,9.9,3.8,113100,15996,0.787205467465563,0.0114523727556177
5,Northwest Georgia,Partial,30171,3251,ZCTA,ZCTA5 30171,1025,177,53,50,5.2,4.8,127,62,12.4,5.7,206,105,20.1,9.7,179,77,17.5,6.9,181,80,17.7,7.2,241,141,23.5,13.1,38,40,3.7,3.9,0,23,0,2.2,180,80,17.6,7.2,566,153,55.2,11.5,279,148,27.2,13.7,182300,38208,1.0540303340223,0.0134076413484541
6,Northwest Georgia,No,30173,3252,ZCTA,ZCTA5 30173,1227,210,208,108,17,8.3,376,142,30.6,10.4,372,147,30.3,10.8,132,86,10.8,6.8,123,73,10,5.7,0,27,0,2.2,16,32,1.3,2.6,0,33,0,2.7,584,179,47.6,12.1,627,185,51.1,12.3,16,53,1.3,4.3,103100,11805,0.577415506063328,0.00858432324010193
7,Northwest Georgia,No,30175,3253,ZCTA,ZCTA5 30175,1520,192,135,62,8.9,3.9,228,103,15,6.5,193,77,12.7,4.8,310,125,20.4,7.8,337,119,22.2,7.3,221,91,14.5,5.7,84,51,5.5,3.3,12,33,0.8,2.2,363,120,23.9,7.3,840,189,55.3,10.3,317,110,20.9,6.7,181700,19489,1.27908981232796,0.0224440785488201
8,Southern Georgia,No,31641,3761,ZCTA,ZCTA5 31641,595,150,93,68,15.6,10.8,113,85,19,13.5,240,124,40.3,18.2,67,48,11.3,7.6,55,53,9.2,8.7,19,24,3.2,4,8,18,1.3,3.1,0,23,0,3.8,206,109,34.6,16.1,362,143,60.8,18.6,27,38,4.5,6.3,118000,16746,1.00446604969967,0.0207947249700828
9,Northwest Georgia,No,30176,3254,ZCTA,ZCTA5 30176,1748,250,230,126,13.2,7,608,187,34.8,9.5,216,112,12.4,6.2,421,173,24.1,9.3,142,86,8.1,4.8,119,121,6.8,6.8,12,28,0.7,1.6,0,33,0,1.9,838,226,47.9,11,779,223,44.6,11.1,131,128,7.5,7.3,107700,35032,0.970192286400783,0.0211347106336503
10,Southern Georgia,No,31642,3762,ZCTA,ZCTA5 31642,1130,124,493,128,43.6,10.3,393,111,34.8,9,152,63,13.5,5.4,17,25,1.5,2.2,25,20,2.2,1.8,38,38,3.4,3.4,12,26,1.1,2.3,0,23,0,2,886,170,78.4,12.3,194,71,17.2,6,50,51,4.4,4.5,62700,3704,1.64119010542039,0.0456292817979216
11,Northwest Georgia,No,30177,3255,ZCTA,ZCTA5 30177,414,160,9,36,2.2,8.7,86,98,20.8,22.4,100,106,24.2,23.7,133,95,32.1,19.2,74,78,17.9,17.6,0,18,0,4.4,0,18,0,4.4,12,28,2.9,6.6,95,105,22.9,23.7,307,162,74.2,26.6,12,38,2.9,9.1,152600,22320,0.252966602180641,0.00128630503732055
